68,Mammie,Cisney,mammie@cox.net,Montreal
72,Coral,Helmcamp,coral.helmcamp@helmcamp.org,Toronto
106,Herschel,Geneseo,herschel@geneseo.com,Toronto
110,Tesha,Brang,tesha@aol.com,Montreal
122,India,Sifford,isifford@sifford.org,Toronto
125,Makeda,Nosis,makeda.nosis@yahoo.com,Toronto
234,Harris,Sheck,harris@cox.net,Montreal
237,Maddie,Foulds,maddie@hotmail.com,Montreal
240,Steffanie,Meinen,steffanie.meinen@cox.net,Montreal
265,Floyd,Bub,fbub@bub.com,Toronto
316,Val,Bigaud,val_bigaud@aol.com,Montreal
351,Denny,Zeanah,denny_zeanah@zeanah.com,Montreal
410,Timothy,Bussert,timothy@bussert.com,Toronto
412,Luann,Michon,luann@cox.net,Montreal
413,Mable,Goerke,mable_goerke@cox.net,Toronto
423,Verona,Jobst,verona_jobst@jobst.org,Montreal
425,Rikki,Montalgo,rikki@montalgo.com,Montreal
469,Ricki,Traux,ricki.traux@traux.com,Montreal
484,Clemencia,Momplaisir,cmomplaisir@yahoo.com,Montreal
68,Mammie,Cisney,mammie@cox.net,Montreal
72,Coral,Helmcamp,coral.helmcamp@helmcamp.org,Toronto
106,Herschel,Geneseo,herschel@geneseo.com,Toronto
110,Tesha,Brang,tesha@aol.com,Montreal
122,India,Sifford,isifford@sifford.org,Toronto
125,Makeda,Nosis,makeda.nosis@yahoo.com,Toronto
234,Harris,Sheck,harris@cox.net,Montreal
237,Maddie,Foulds,maddie@hotmail.com,Montreal
240,Steffanie,Meinen,steffanie.meinen@cox.net,Montreal
265,Floyd,Bub,fbub@bub.com,Toronto
316,Val,Bigaud,val_bigaud@aol.com,Montreal
351,Denny,Zeanah,denny_zeanah@zeanah.com,Montreal
410,Timothy,Bussert,timothy@bussert.com,Toronto
412,Luann,Michon,luann@cox.net,Montreal
413,Mable,Goerke,mable_goerke@cox.net,Toronto
423,Verona,Jobst,verona_jobst@jobst.org,Montreal
425,Rikki,Montalgo,rikki@montalgo.com,Montreal
469,Ricki,Traux,ricki.traux@traux.com,Montreal
484,Clemencia,Momplaisir,cmomplaisir@yahoo.com,Montreal
